geno,pop,GDDTAS,GDDTSS,GDDTASIS,PHS,EHS,TLNS,GDDTAW,GDDTSW,GDDTASIW,PHW,EHW,TLNW,GDDTAP,GDDTSP,GDDTASIP,PHP,EHP,TLNP
05CL_2738,B73xCML254,986.0751048,1028.699858,24.2152241,149.76543,56.68694389,21.26669183,933.1529249,929.3343699,-0.53885953,146.3735456,70.13799009,18.74605859,52.92217989,99.36548852,24.75408363,3.391884376,-13.4510462,2.520633243
05CL_2740,B73xCML254,951.3316082,1006.506099,40.46523863,151.6504817,61.53708365,22.37778435,896.8509373,911.9246407,14.52665228,136.6216351,63.37491603,18.48888107,54.48067093,94.5814587,25.93858635,15.0288466,-1.837832373,3.888903281
05CL_2741,B73xCML254,920.6199671,969.1920473,39.07989011,158.1749043,65.76725952,22.07504843,885.673277,905.9283884,19.07348309,142.9009443,64.8217678,18.86374461,34.9466901,63.26365886,20.00640702,15.27395998,0.945491718,3.211303816
05CL_2742,B73xCML254,962.1588751,990.0937714,33.65822666,163.8099407,76.8558044,20.5941411,909.3558627,913.652832,5.955296145,139.3762323,72.54225638,17.32601706,52.80301241,76.44093944,27.70293052,24.43370838,4.313548023,3.268124039
05CL_2743,B73xCML254,1011.676056,1032.114065,20.2633629,152.8040765,64.79519692,23.65132275,882.534157,878.7816681,-0.375036623,135.7328794,60.30614292,17.99623024,129.141899,153.332397,20.63839952,17.07119707,4.489053995,5.655092516
05CL_2744,B73xCML254,966.1313274,1023.463677,49.75419797,154.5807202,59.79769193,22.38216598,898.544229,913.8246168,14.32997306,141.6261748,56.21218582,18.83195343,67.58709835,109.6390602,35.42422491,12.95454533,3.585506104,3.550212549
05CL_2746,B73xCML254,1027.660255,1074.780209,40.94590028,171.9403324,76.57815713,21.67628387,920.9639341,931.5530117,11.16090849,137.7526104,71.59314622,18.17338698,106.696321,143.2271972,29.7849918,34.18772202,4.985010915,3.502896887
05CL_2749,B73xCML254,1124.783708,1208.961611,68.83198118,196.9717074,101.0593808,22.83363682,964.5222827,974.6684763,11.62372998,137.1792218,75.2655417,17.78685635,160.2614251,234.2931343,57.2082512,59.79248561,25.79383914,5.046780469
05CL_2750,B73xCML254,1091.191796,1132.041738,41.0202401,171.2876943,86.8596411,24.23561327,955.5970252,974.2520251,18.06481816,142.9291896,74.49621741,19.63817381,135.5947711,157.7897128,22.95542193,28.35850464,12.36342369,4.597439466
05CL_2751,B73xCML254,956.6163882,1021.436976,48.35681689,159.822005,62.95654437,23.0094533,913.9369454,916.896848,5.06460136,131.6268592,58.14958447,19.0742516,42.67944279,104.5401277,43.29221553,28.19514579,4.806959905,3.935201694
05CL_2752,B73xCML254,944.6877368,977.8296054,30.12865778,185.6207495,77.10379659,19.98058606,914.1491278,923.3506331,9.369093237,130.0828637,72.68002859,16.94584779,30.53860905,54.47897227,20.75956454,55.53788585,4.423767996,3.034738273
05CL_2754,B73xCML254,963.4861929,1008.53593,36.49740024,173.0347337,81.25872599,23.01080161,913.7105203,921.8915957,9.325086173,141.1823012,71.8669082,19.98373345,49.7756727,86.6443345,27.17231407,31.85243248,9.391817787,3.02706816
05CL_2756,B73xCML254,1158.61976,1189.491689,20.06663915,160.8914764,74.00951314,23.43812517,954.5584594,951.2483098,-2.465869059,119.4874734,59.07939884,18.14177257,204.0613001,238.2433795,22.53250821,41.40400303,14.9301143,5.296352607
05CL_2757,B73xCML254,1010.359329,1075.346191,53.26543064,167.6696416,72.44501248,21.9473635,912.8235058,923.5957259,11.96583539,127.6262969,58.38159742,16.71498654,97.53582317,151.7504651,41.29959524,40.04334477,14.06341506,5.232376962
05CL_2759,B73xCML254,928.6649159,955.8192295,23.25886546,172.3896569,77.73315633,21.743502,903.6129516,909.466849,7.854419248,148.2815927,72.98412306,19.1618831,25.05196423,46.35238048,15.40444621,24.10806414,4.749033263,2.581618905
05CL_2760,B73xCML254,978.709564,1017.213122,30.81514893,171.4636767,84.1596158,22.46042191,885.4119274,887.4624022,3.012182389,140.7765787,70.03985805,19.19927489,93.29763658,129.7507198,27.80296654,30.68709803,14.11975775,3.261147029
05CL_2761,B73xCML254,977.2556065,1035.709438,54.06507525,175.6137284,78.68093767,20.02820757,933.9964049,973.4060335,34.9976727,135.4621645,59.44471287,16.59305371,43.25920168,62.30340433,19.06740255,40.15156392,19.23622481,3.435153856
05CL_2762,B73xCML254,985.6199827,1038.278983,43.87376119,176.0162507,78.71888523,21.70631982,921.9073821,947.9566149,24.8362609,133.4506316,62.4018779,17.58888814,63.71260052,90.32236848,19.03750029,42.56561909,16.31700733,4.117431683
05CL_2764,B73xCML254,1021.277225,1082.701936,50.9993851,189.1999506,81.29757762,23.28669279,965.3246701,971.5457549,7.724296889,150.6834208,78.24360389,19.8721101,55.95255443,111.1561812,43.27508821,38.51652983,3.053973724,3.414582697
05CL_2766,B73xCML254,950.7556826,1001.172154,46.27728965,159.5639204,75.26934795,20.71610103,904.677874,916.4020817,11.46028509,145.6492969,75.7872169,18.60394074,46.0778086,84.77007242,34.81700456,13.91462353,-0.517868955,2.112160287
05CL_2767,B73xCML254,988.1228896,1040.391157,46.91922872,157.3461749,65.44161276,22.31977482,913.1380889,926.5702148,13.21172837,129.7808848,59.68669488,19.44932143,74.98480067,113.8209426,33.70750035,27.56529016,5.754917876,2.870453388
05CL_2768,B73xCML254,1016.657741,1042.727837,23.28904106,193.0821243,96.90115988,23.87675138,925.456522,927.6553531,3.735216873,143.9514326,80.64202705,19.42763614,91.20121935,115.0724838,19.55382419,49.1306917,16.25913282,4.44911524
05CL_2769,B73xCML254,935.0321442,1014.524254,68.67043095,152.2762972,55.37632241,22.1309369,876.814106,896.4483623,19.07126399,137.3047041,52.5662692,19.02111725,58.21803821,118.075892,49.59916695,14.97159313,2.810053212,3.109819652
05CL_2770,B73xCML254,1007.181818,1041.923227,27.40335244,176.0896442,80.55892108,22.0777878,953.2444978,934.1185911,-14.32925008,134.1931068,69.51884842,17.81836647,53.93732006,107.8046358,41.73260252,41.89653736,11.04007266,4.259421326
05CL_2771,B73xCML254,1077.448592,1130.271687,38.88817074,201.86676,98.83644128,24.70141309,922.9532574,936.2393564,14.31297815,143.5156807,74.16245804,19.64239335,154.4953341,194.0323301,24.57519259,58.3510793,24.67398323,5.059019737
05CL_2772,B73xCML254,962.7928727,1012.083147,38.93614772,161.1756853,66.07545396,19.89326596,897.8084172,911.7573335,14.08860353,139.8326149,61.96809717,17.55059434,64.98445556,100.3258136,24.84754419,21.34307037,4.107356791,2.342671621
05CL_2773,B73xCML254,1066.118284,1154.048546,72.50435187,168.4348566,76.01426492,22.62184933,915.2712807,918.0275324,3.404709342,138.2794015,64.96407854,18.0827825,150.8470036,236.0210135,69.09964253,30.15545504,11.05018637,4.539066829
05CL_2774,B73xCML254,1058.546406,1168.94424,97.90562953,182.4820243,88.83767772,24.0543348,958.2931423,969.635568,11.79514829,137.6458769,74.30825197,21.61887072,100.2532641,199.3086723,86.11048124,44.83614741,14.52942575,2.435464079
05CL_2775,B73xCML254,953.1477835,1000.599706,39.95825782,148.3316143,58.89070162,22.09386274,871.5892223,887.2311259,15.60569013,122.1863598,54.26328669,19.27927301,81.55856121,113.3685799,24.35256769,26.14525446,4.627414931,2.814589733
05CL_2776,B73xCML254,993.5081527,1010.951333,12.23975013,186.9025803,78.67406224,22.66327922,924.7579158,934.3815314,10.87574434,145.5623339,62.12878653,19.49847401,68.75023696,76.56980191,1.36400579,41.34024641,16.54527571,3.164805207
05CL_2777,B73xCML254,970.7416446,1010.463067,28.56407583,197.6563995,97.00065448,22.80560102,933.3617009,971.665968,36.19661512,148.3858631,83.93827632,19.98959632,37.37994377,38.79709936,-7.63253929,49.27053647,13.06237816,2.816004704
05CL_2779,B73xCML254,908.5601006,965.8064382,45.50342945,143.5677099,53.91627518,19.20483934,865.612978,891.939276,24.21092475,127.7929298,48.73298114,16.66002329,42.94712253,73.86716216,21.2925047,15.77478007,5.183294047,2.54481605
05CL_2781,B73xCML254,974.2741446,984.4072741,7.164505558,168.4881703,76.1742872,22.08783311,926.8247307,918.1140739,-5.345483515,142.9436762,69.607998,19.60074485,47.4494139,66.29320015,12.50998907,25.54449413,6.566289193,2.487088258
05CL_2782,B73xCML254,1068.584678,1128.324063,56.22187133,173.6115321,74.23680718,23.16017702,937.9288753,945.6940893,6.832700836,134.845505,58.83669937,18.52911838,130.6558027,182.6299737,49.38917049,38.76602713,15.40010781,4.631058641
05CL_2784,B73xCML254,987.6212945,1035.79868,45.27838538,184.6573244,77.61176079,23.40619509,927.7481292,966.9377298,36.00458898,147.8049334,81.08723276,20.5510088,59.87316536,68.86095026,9.273796391,36.85239097,-3.475471966,2.855186291
05CL_2785,B73xCML254,1017.079137,1065.144685,39.41944727,157.1008964,78.88440492,20.93570048,958.6674528,978.5693231,18.71018797,139.8211862,75.95637704,18.4301869,58.41168371,86.57536165,20.7092593,17.27971019,2.928027881,2.505513585
05CL_2786,B73xCML254,1043.176178,1091.880178,41.02175257,183.6286613,84.84277754,22.91273176,944.3287302,943.6268201,0.447190461,133.4953614,66.37509881,20.0310797,98.84744733,148.2533576,40.57456211,50.13329993,18.46767873,2.881652053
05CL_2787,B73xCML254,1071.272759,1166.32507,75.28277168,199.1027292,101.9688423,24.67653989,954.3207757,980.1409719,41.34121598,152.3881797,83.04899662,20.9113211,116.9519829,186.1840984,33.94155571,46.71454953,18.91984573,3.765218791
05CL_2788,B73xCML254,1075.742695,1152.05673,66.75576282,194.5652938,102.5923866,23.62687154,940.1273525,944.1093198,8.018331996,161.0669603,86.26214189,18.63401177,135.6153424,207.9474097,58.73743083,33.49833352,16.33024468,4.992859768
05CL_2789,B73xCML254,959.8012061,998.9413052,35.51958113,172.589922,72.61003743,21.48023613,867.6558728,872.565488,5.746195861,132.7263243,55.84888115,18.40762904,92.14533334,126.3758173,29.77338527,39.86359773,16.76115628,3.072607086
05CL_2790,B73xCML254,950.9727258,971.8699776,19.82033939,149.5810909,65.87776599,20.7109708,888.1413609,889.2022846,2.73576258,134.4820959,62.8139907,16.93981856,62.83136493,82.66769297,17.08457681,15.09899493,3.063775291,3.771152245
05CL_2791,B73xCML254,962.6088891,1011.236879,46.70235058,153.0778877,58.71436898,22.8748133,876.8204524,894.8225568,17.2207317,139.046596,64.84235005,19.75898122,85.78843672,116.4143226,29.48161888,14.03129164,-6.127981072,3.115832077
05CL_2792,B73xCML254,975.4361254,1014.957072,31.69210626,183.6420042,83.53237663,21.60697671,950.7132026,959.7304364,12.03015508,130.8735117,65.19457701,18.15637858,24.72292282,55.22663517,19.66195119,52.76849247,18.33779962,3.450598128
05CL_2793,B73xCML254,1010.372839,1045.350932,29.34008079,187.1930127,96.78305663,24.08090748,946.3963227,969.1307849,22.08502159,135.1468395,75.06341437,19.720996,63.97651627,76.22014749,7.255059197,52.04617315,21.71964226,4.359911477
05CL_2794,B73xCML254,1027.307066,1054.54365,23.82302308,177.785352,83.74351006,23.50899184,914.4924793,911.7052228,-0.207532791,134.1192383,67.06393166,18.51655259,112.8145865,142.838427,24.03055587,43.66611369,16.6795784,4.992439253
05CL_2795,B73xCML254,1068.590446,1080.214015,14.86408004,164.4064617,75.22680498,23.10161494,912.694202,877.4001529,-28.43105496,132.5257602,59.1220014,18.36943063,155.8962436,202.8138622,43.295135,31.88070151,16.10480358,4.732184303
05CL_2798,B73xCML254,1000.22654,1054.512875,45.27279288,179.0463287,82.44429622,22.32630115,934.5103838,944.0570331,9.738757148,143.8123504,77.17441016,19.13617251,65.71615658,110.455842,35.53403573,35.23397828,5.269886058,3.190128646
05CL_2799,B73xCML254,1078.101478,1150.757764,60.59729197,201.6586459,101.7683807,23.09109961,890.4961757,889.2441658,0.419088937,147.720228,77.37118554,18.45910742,187.6053019,261.5135986,60.17820303,53.9384179,24.39719511,4.631992193
05CL_2800,B73xCML254,963.2605477,1013.449957,38.02195701,198.7551811,103.0006611,22.02958271,895.5584321,908.1140408,10.76988389,143.4950065,69.75592561,16.97451336,67.70211556,105.3359161,27.25207312,55.26017464,33.24473547,5.055069354
05CL_2801,B73xCML254,983.9291679,1028.861018,31.92807647,199.3778187,86.30111553,21.17644597,906.6261964,914.7368046,8.530995157,139.569386,64.65158251,16.57680283,77.30297157,114.1242132,23.39708132,59.80843275,21.64953301,4.599643142
05CL_2802,B73xCML254,933.2826141,957.4652216,21.22693812,167.9469342,71.55095186,20.81618807,863.2543982,876.3704171,12.57209006,141.0968688,64.61136671,17.82260653,70.02821588,81.09480446,8.65484806,26.85006535,6.939585149,2.993581532
05CL_2804,B73xCML254,1043.422585,1089.982489,32.93610201,199.5958387,89.55887454,23.61211841,927.484775,921.3868319,-3.698224345,145.3573805,72.27217841,20.27319596,115.9378101,168.5956567,36.63432636,54.23845819,17.28669613,3.33892245
05CL_2805,B73xCML254,939.4847058,1003.037146,55.63049565,174.1420825,66.01649462,20.42756992,872.604042,910.2439666,33.7706381,138.3419419,48.83962181,16.68415175,66.88066378,92.79317922,21.85985754,35.80014053,17.17687282,3.743418175
05CL_2806,B73xCML254,997.4485863,1031.521338,31.15929271,219.8835821,107.2162303,22.10574019,905.8898298,911.0307869,5.56947319,156.1514769,77.95787035,18.77770629,91.55875644,120.4905513,25.58981953,63.73210514,29.25835991,3.328033902
05CL_2807,B73xCML254,1061.809557,1107.830505,36.00686931,187.0951637,81.26676302,22.9030269,955.3798884,968.1715297,11.94556848,145.4454984,76.23334002,18.89999199,106.4296681,139.6589754,24.06130083,41.64966534,5.033422997,4.003034909
05CL_2809,B73xCML254,1028.908239,1139.53545,97.496963,165.6983782,72.83423439,22.40500301,845.9434319,862.8364391,15.13677657,133.0429709,63.66717472,17.73386348,182.9648072,276.6990105,82.36018643,32.65540738,9.167059662,4.671139525
05CL_2810,B73xCML254,981.8334524,1021.186698,25.56467089,167.3367799,69.91008696,20.64286607,892.423436,906.9059932,13.6386601,140.9794496,62.79865786,17.40735313,89.41001642,114.2807046,11.92601079,26.3573303,7.111429102,3.235512935
05CL_2811,B73xCML254,953.9436424,1023.227956,60.33521479,153.5378688,59.33845565,21.3845842,919.6416297,954.5597652,33.00304941,140.2548592,65.52579707,18.21310093,34.30201274,68.66819042,27.33216539,13.28300957,-6.187341415,3.171483274
05CL_2813,B73xCML254,1012.517893,1049.749552,28.19942414,164.4559644,74.5893185,22.35947613,893.1612623,879.4992173,-0.275068928,142.9751541,73.0734322,17.41396734,119.3566305,170.250335,28.47449307,21.48081031,1.515886294,4.945508788
05CL_2814,B73xCML254,1071.461852,1105.394205,34.81199125,149.2867943,65.10356174,22.64059909,962.6711161,964.9073448,2.585212788,126.6388045,59.50467017,19.15670172,108.7907363,140.4868601,32.22677846,22.64798983,5.598891568,3.483897369
05CL_2815,B73xCML254,982.513924,1034.453184,41.67941051,159.0543628,62.07004616,21.21424312,945.258531,972.8162509,25.94131063,137.2466152,61.44719694,18.44977386,37.25539301,61.63693357,15.73809988,21.80774759,0.622849226,2.764469264
05CL_2816,B73xCML254,1008.855314,1078.034593,54.59743555,130.0241674,51.93649872,21.77253582,948.7928379,965.1576056,17.09187883,122.1363068,53.64719472,19.61564893,60.06247581,112.8769875,37.50555672,7.887860637,-1.710695997,2.156886893
05CL_2817,B73xCML254,1002.49638,1041.690396,30.73563088,155.452691,69.35884422,20.93580749,933.1751339,945.8692343,13.04276748,134.3019637,63.20718028,18.66439678,69.32124635,95.82116189,17.6928634,21.15072728,6.151663939,2.271410704
05CL_2818,B73xCML254,943.6860197,990.8384326,33.70328765,185.3864478,80.57084813,23.01540807,903.5593056,913.2404449,9.22214432,147.8020867,75.62591762,19.42533771,40.12671415,77.59798765,24.48114332,37.5843611,4.944930513,3.590070361
05CL_2819,B73xCML254,1028.384108,1045.785019,11.87699434,168.1955262,82.19528435,23.30718221,945.5182702,930.4436762,-10.5060483,132.3117463,68.37554461,19.39261845,82.86583822,115.3413424,22.38304265,35.88377994,13.81973974,3.914563755
05CL_2820,B73xCML254,989.9416831,1021.850388,20.57498365,181.5720838,74.39478369,21.72709535,925.451612,921.4403934,-1.364299656,136.0095476,67.14051359,19.06810282,64.49007112,100.409995,21.9392833,45.56253623,7.254270108,2.65899253
05CL_2821,B73xCML254,1046.106324,1083.129695,27.70756231,186.5146972,89.82514075,24.8595225,961.78792,958.7533689,0.764669881,142.9542965,75.06964712,20.5868855,84.31840382,124.3763263,26.94289243,43.56040067,14.75549364,4.272637004
05CL_2822,B73xCML254,979.2950776,1057.034663,66.18143685,197.0058436,78.27826429,24.71061943,907.4170677,948.1314447,36.39695749,153.7202971,65.86148549,20.60223082,71.87800982,108.9032181,29.78447936,43.28554657,12.4167788,4.108388613
05CL_2823,B73xCML254,963.9437065,998.991431,27.41882873,173.0362102,71.23137057,20.92884063,854.8678353,859.7439927,5.555253219,133.0625344,56.62071807,16.92441669,109.0758711,139.2474383,21.86357551,39.97367579,14.6106525,4.004423939
05CL_2824,B73xCML254,1025.687691,1066.990298,31.53925461,207.4638853,100.1197745,22.16733261,948.2982469,946.542673,-0.413304099,151.2653207,84.79903287,18.26345629,77.38944446,120.4476248,31.95255871,56.1985646,15.32074165,3.903876315
05CL_2825,B73xCML254,1003.913951,1083.415362,66.61612251,180.6945534,77.64454242,22.42863727,932.7289508,980.1100473,43.93503703,145.3686302,74.9387668,19.43414156,71.18499985,103.3053151,22.68108547,35.32592321,2.705775619,2.994495711
