"name","chr","pos"
"M110",2,9.1
"M111",2,10.1
"M112",2,11.1
"M113",2,12.1
"M114",2,13.1
"M115",2,14.1
"M116",2,15.1
"M117",2,16.1
"M118",2,17.1
"M119",2,18.1
"M120",2,19.1
"M121",2,20.1
"M122",2,21.1
"M123",2,22.1
"M124",2,23.1
"M125",2,24.1
"M126",2,25.1
"M127",2,26.1
"M128",2,27.1
"M129",2,28.1
"M130",2,29.1
"M131",2,30.1
"M132",2,31.1
"M133",2,32.1
"M134",2,33.1
"M135",2,34.1
"M136",2,35.1
"M137",2,36.1
"M138",2,37.1
"M139",2,38.1
"M140",2,39.1
"M141",2,40.1
"M142",2,41.1
"M143",2,42.1
"M144",2,43.1
"M145",2,44.1
"M146",2,45.1
"M147",2,46.1
"M148",2,47.1
"M149",2,48.1
"M150",2,49.1
"M151",2,50.1
"M152",2,51.1
"M153",2,52.1
"M154",2,53.1
"M155",2,54.1
"M156",2,55.1
"M157",2,56.1
"M158",2,57.1
"M159",2,58.1
"M160",2,59.1
"M161",2,60.1
"M162",2,61.1
"M163",2,62.1
"M164",2,63.1
"M165",2,64.1
"M166",2,65.1
"M167",2,66.1
"M168",2,67.1
"M169",2,68.1
"M170",2,69.1
"M171",2,70.1
"M172",2,71.1
"M173",2,72.1
"M174",2,73.1
"M175",2,74.1
"M176",2,75.1
"M177",2,76.1
"M178",2,77.1
"M179",2,78.1
"M180",2,79.1
"M181",2,80.1
"M182",2,81.1
"M183",2,82.1
"M184",2,83.1
"M185",2,84.1
"M186",2,85.1
"M187",2,86.1
"M188",2,87.1
"M189",2,88.1
"M190",2,89.1
"M191",2,90.1
"M192",2,91.1
"M193",2,92.1
"M194",2,93.1
"M195",2,94.1
"M196",2,95.1
"M197",2,96.1
"M198",2,97.1
"M199",2,98.1
"M200",2,99.1
"M201",3,0.2
"M202",3,1.1
"M203",3,2.1
"M204",3,3.1
"M205",3,4.1
"M206",3,5.1
"M207",3,6.1
"M208",3,7.1
"M209",3,8.1
"M210",3,9.1
"M211",3,10.1
"M212",3,11.1
"M213",3,12.1
"M214",3,13.1
"M215",3,14.1
"M216",3,15.1
"M217",3,16.1
"M218",3,17.1
"M219",3,18.1
"M220",3,19.1
"M221",3,20.1
"M222",3,21.1
"M223",3,22.1
"M224",3,23.1
"M225",3,24.1
"M226",3,25.1
"M227",3,26.1
"M228",3,27.1
"M229",3,28.1
"M230",3,29.1
"M231",3,30.1
"M232",3,31.1
"M233",3,32.1
"M234",3,33.1
"M235",3,34.1
"M236",3,35.1
"M237",3,36.1
"M238",3,37.1
"M239",3,38.1
"M240",3,39.1
"M241",3,40.1
"M242",3,41.1
"M243",3,42.1
"M244",3,43.1
"M245",3,44.1
"M246",3,45.1
"M247",3,46.1
"M248",3,47.1
"M249",3,48.1
"M250",3,49.1
"M251",3,50.1
"M252",3,51.1
"M253",3,52.1
"M254",3,53.1
"M255",3,54.1
"M256",3,55.1
"M257",3,56.1
"M258",3,57.1
"M259",3,58.1
"M260",3,59.1
"M261",3,60.1
"M262",3,61.1
"M263",3,62.1
"M264",3,63.1
"M265",3,64.1
"M266",3,65.1
"M267",3,66.1
"M268",3,67.1
"M269",3,68.1
"M270",3,69.1
"M271",3,70.1
"M272",3,71.1
"M273",3,72.1
"M274",3,73.1
"M275",3,74.1
"M276",3,75.1
"M277",3,76.1
"M278",3,77.1
"M279",3,78.1
"M280",3,79.1
"M281",3,80.1
"M282",3,81.1
"M283",3,82.1
"M284",3,83.1
"M285",3,84.1
"M286",3,85.1
"M287",3,86.1
"M288",3,87.1
"M289",3,88.1
"M290",3,89.1
"M291",3,90.1
"M292",3,91.1
"M293",3,92.1
"M294",3,93.1
"M295",3,94.1
"M296",3,95.1
"M297",3,96.1
"M298",3,97.1
"M299",3,98.1
"M300",3,99.1
"M301",4,0.2
"M302",4,1.1
"M303",4,2.1
"M304",4,3.1
"M305",4,4.1
"M306",4,5.1
"M307",4,6.1
"M308",4,7.1
"M309",4,8.1
"M310",4,9.1
"M311",4,10.1
"M312",4,11.1
"M313",4,12.1
"M314",4,13.1
"M315",4,14.1
"M316",4,15.1
"M317",4,16.1
"M318",4,17.1
"M319",4,18.1
"M320",4,19.1
"M321",4,20.1
"M322",4,21.1
"M323",4,22.1
"M324",4,23.1
"M325",4,24.1
"M326",4,25.1
"M327",4,26.1
"M328",4,27.1
"M329",4,28.1
"M330",4,29.1
"M331",4,30.1
"M332",4,31.1
"M333",4,32.1
"M334",4,33.1
"M335",4,34.1
"M336",4,35.1
"M337",4,36.1
"M338",4,37.1
"M339",4,38.1
"M340",4,39.1
"M341",4,40.1
"M342",4,41.1
"M343",4,42.1
"M344",4,43.1
"M345",4,44.1
"M346",4,45.1
"M347",4,46.1
"M348",4,47.1
"M349",4,48.1
"M350",4,49.1
"M351",4,50.1
"M352",4,51.1
"M353",4,52.1
"M354",4,53.1
"M355",4,54.1
"M356",4,55.1
"M357",4,56.1
"M358",4,57.1
"M359",4,58.1
"M360",4,59.1
"M361",4,60.1
"M362",4,61.1
"M363",4,62.1
"M364",4,63.1
"M365",4,64.1
"M366",4,65.1
"M367",4,66.1
"M368",4,67.1
"M369",4,68.1
"M370",4,69.1
"M371",4,70.1
"M372",4,71.1
"M373",4,72.1
"M374",4,73.1
"M375",4,74.1
"M376",4,75.1
"M377",4,76.1
"M378",4,77.1
"M379",4,78.1
"M380",4,79.1
"M381",4,80.1
"M382",4,81.1
"M383",4,82.1
"M384",4,83.1
"M385",4,84.1
"M386",4,85.1
"M387",4,86.1
"M388",4,87.1
"M389",4,88.1
"M390",4,89.1
"M391",4,90.1
"M392",4,91.1
"M393",4,92.1
"M394",4,93.1
"M395",4,94.1
"M396",4,95.1
"M397",4,96.1
"M398",4,97.1
"M399",4,98.1
"M400",4,99.1
"M401",5,0.2
"M402",5,1.1
"M403",5,2.1
"M404",5,3.1
"M405",5,4.1
"M406",5,5.1
"M407",5,6.1
"M408",5,7.1
"M409",5,8.1
"M410",5,9.1
"M411",5,10.1
"M412",5,11.1
"M413",5,12.1
"M414",5,13.1
"M415",5,14.1
"M416",5,15.1
"M417",5,16.1
"M418",5,17.1
"M419",5,18.1
"M420",5,19.1
"M421",5,20.1
"M422",5,21.1
"M423",5,22.1
"M424",5,23.1
"M425",5,24.1
"M426",5,25.1
"M427",5,26.1
"M428",5,27.1
"M429",5,28.1
"M430",5,29.1
"M431",5,30.1
"M432",5,31.1
"M433",5,32.1
"M434",5,33.1
"M435",5,34.1
"M436",5,35.1
"M437",5,36.1
"M438",5,37.1
"M439",5,38.1
"M440",5,39.1
"M441",5,40.1
"M442",5,41.1
"M443",5,42.1
"M444",5,43.1
"M445",5,44.1
"M446",5,45.1
"M447",5,46.1
"M448",5,47.1
"M449",5,48.1
"M450",5,49.1
"M451",5,50.1
"M452",5,51.1
"M453",5,52.1
"M454",5,53.1
"M455",5,54.1
"M456",5,55.1
"M457",5,56.1
"M458",5,57.1
"M459",5,58.1
"M460",5,59.1
"M461",5,60.1
"M462",5,61.1
"M463",5,62.1
"M464",5,63.1
"M465",5,64.1
"M466",5,65.1
"M467",5,66.1
"M468",5,67.1
"M469",5,68.1
"M470",5,69.1
"M471",5,70.1
"M472",5,71.1
"M473",5,72.1
"M474",5,73.1
"M475",5,74.1
"M476",5,75.1
"M477",5,76.1
"M478",5,77.1
"M479",5,78.1
"M480",5,79.1
"M481",5,80.1
"M482",5,81.1
"M483",5,82.1
"M484",5,83.1
"M485",5,84.1
"M486",5,85.1
"M487",5,86.1
"M488",5,87.1
"M489",5,88.1
"M490",5,89.1
"M491",5,90.1
"M492",5,91.1
"M493",5,92.1
"M494",5,93.1
"M495",5,94.1
"M496",5,95.1
"M497",5,96.1
"M498",5,97.1
"M499",5,98.1
"M500",5,99.1
